,Zone,Code with States/ UTs Name,Total Households,No. of Excluded Households with exclusion criteria Households owning motorized two/three/four wheelers/fishing boats,No. of Excluded Households with exclusion criteria Households owning mechanized three/four wheeler agricultural equipments,"No. of Excluded Households with exclusion criteria Households having kisan credit card with the credit limit of Rs.50,000 and above",No. of Excluded Households with exclusion criteria Households with any member as government employee,No. of Excluded Households with exclusion criteria Households with non-agricultural enterprises registered with government,"No. of Excluded Households with exclusion criteria Households with any member earning more than Rs. 10,000 p.m ",No. of Excluded Households with exclusion criteria Households paying income tax,No. of Excluded Households with exclusion criteria Households paying professional tax ,No. of Excluded Households with exclusion criteria Households with three or more rooms with pucca walls and pucca roof,No. of Excluded Households with exclusion criteria Households owning refrigerator,No. of Excluded Households with exclusion criteria Households owning landline phones,No. of Excluded Households with exclusion criteria Households owning 2.5 acres or more irrigated land with at least one irrigation equipment,No. of Excluded Households with exclusion criteria Household owning 5 acres or more land irrigated for two or more crop seasons,No. of Excluded Households with exclusion criteria Households owning 7.5 acres or more land with at least one irrigation equipment,% of Excluded Households with exclusion criteria Households owning motorized two/three/four wheelers/fishing boats,% of Excluded Households with exclusion criteria Households owning mechanized three/four wheeler agricultural equipments,"% of Excluded Households with exclusion criteria Households having kisan credit card with the credit limit of Rs.50,000 and above",% of Excluded Households with exclusion criteria Households with any member as government employee,% of Excluded Households with exclusion criteria Households with non-agricultural enterprises registered with government,"% of Excluded Households with exclusion criteria Households with any member earning more than Rs. 10,000 p.m ",% of Excluded Households with exclusion criteria Households paying income tax,% of Excluded Households with exclusion criteria Households paying professional tax ,% of Excluded Households with exclusion criteria Households with three or more rooms with pucca walls and pucca roof,% of Excluded Households with exclusion criteria Households owning refrigerator,% of Excluded Households with exclusion criteria Households owning landline phones,% of Excluded Households with exclusion criteria Households owning 2.5 acres or more irrigated land with at least one irrigation equipment,% of Excluded Households with exclusion criteria Household owning 5 acres or more land irrigated for two or more crop seasons,% of Excluded Households with exclusion criteria Households owning 7.5 acres or more land with at least one irrigation equipment,Atleast One Exclusion
0,All India,,179787454,37231701,7369947,6484625,8954325,4909278,14828441,8220605,8220605,33170510,19786147,6693879,7642950,5401044,4064198,20.71%,4.10%,3.61%,4.98%,2.73%,8.25%,4.57%,4.57%,18.45%,11.01%,3.72%,4.25%,3.00%,2.26%,70754003
1,North Total,,9104338,3132980,936364,635411,1120378,581861,1651345,703763,703763,3123865,4148545,530121,749149,588118,437810,34.41%,10.28%,6.98%,12.31%,6.39%,18.14%,7.73%,7.73%,34.31%,45.57%,5.82%,8.23%,6.46%,4.81%,5821248
2,North,01 - JAMMU & KASHMIR,1601606,193030,27566,12472,319404,65904,288670,139408,139408,478271,288433,49490,12481,15717,4355,12.05%,1.72%,0.78%,19.94%,4.11%,18.02%,8.70%,8.70%,29.86%,18.01%,3.09%,0.78%,0.98%,0.27%,761875
3,North,02 - HIMACHAL PRADESH,1263756,251529,38020,68720,291233,108187,307347,132523,132523,507161,531266,148364,10590,27504,6653,19.90%,3.01%,5.44%,23.05%,8.56%,24.32%,10.49%,10.49%,40.13%,42.04%,11.74%,0.84%,2.18%,0.53%,840852
4,North,03 - PUNJAB,3269467,1672686,528411,268189,244577,182830,571951,228547,228547,1198499,2171673,246796,291036,215627,163453,51.16%,16.16%,8.20%,7.48%,5.59%,17.49%,6.99%,6.99%,36.66%,66.42%,7.55%,8.90%,6.60%,5.00%,2438567
5,North,06 - HARYANA,2969509,1015735,342367,286030,265164,224940,483377,203285,203285,939934,1157173,85471,435042,329270,263349,34.21%,11.53%,9.63%,8.93%,7.57%,16.28%,6.85%,6.85%,31.65%,38.97%,2.88%,14.65%,11.09%,8.87%,1779954
6,East Total,,47307665,5079834,799016,807905,1983096,818294,2942121,1888422,1888422,5012485,2020181,641899,566785,539408,279881,10.74%,1.69%,1.71%,4.19%,1.73%,6.22%,3.99%,3.99%,10.60%,4.27%,1.36%,1.20%,1.14%,0.59%,11290693
7,East,10 - BIHAR,17829066,2082670,444393,422588,683429,294134,1196190,482346,482346,2240545,456850,263940,367812,355981,193776,11.68%,2.49%,2.37%,3.83%,1.65%,6.71%,2.71%,2.71%,12.57%,2.56%,1.48%,2.06%,2.00%,1.09%,4793001
8,East,19 - WEST BENGAL,15756750,1285399,177918,152063,682013,252311,948770,943803,943803,1355554,878798,200379,126384,97863,41588,8.16%,1.13%,0.97%,4.33%,1.60%,6.02%,5.99%,5.99%,8.60%,5.58%,1.27%,0.80%,0.62%,0.26%,3302481
9,East,20 - JHARKHAND,5044234,935157,100307,102859,237614,121849,387727,241864,241864,613446,266485,85340,52000,47083,28383,18.54%,1.99%,2.04%,4.71%,2.42%,7.69%,4.79%,4.79%,12.16%,5.28%,1.69%,1.03%,0.93%,0.56%,1566811
10,East,21 - ODISHA,8677615,776608,76398,130395,380040,150000,409434,220409,220409,802940,418048,92240,20589,38481,16134,8.95%,0.88%,1.50%,4.38%,1.73%,4.72%,2.54%,2.54%,9.25%,4.82%,1.06%,0.24%,0.44%,0.19%,1628400
11,West Total,,31206237,7341018,1457739,1425070,1599209,1126177,3204135,1458504,1458504,5344868,3696378,1218965,2280324,1586307,1392824,23.52%,4.67%,4.57%,5.12%,3.61%,10.27%,4.67%,4.67%,17.13%,11.84%,3.91%,7.31%,5.08%,4.46%,12931558
12,West,08 - RAJASTHAN,10223073,2080351,522492,860480,570232,185669,981788,336911,336911,1988603,937819,229535,915740,677078,512821,20.35%,5.11%,8.42%,5.58%,1.82%,9.60%,3.30%,3.30%,19.45%,9.17%,2.25%,8.96%,6.62%,5.02%,4069999
13,West,24 - GUJARAT,6920473,2107389,560202,175319,239809,558580,662243,303745,303745,929906,1120310,233276,535265,399146,361581,30.45%,8.09%,2.53%,3.47%,8.07%,9.57%,4.39%,4.39%,13.44%,16.19%,3.37%,7.73%,5.77%,5.22%,3236193
14,West,27 - MAHARASHTRA,13841960,3007937,373291,388233,760439,362308,1502437,774410,774410,2320685,1485119,713624,828668,508807,518002,21.73%,2.70%,2.80%,5.49%,2.62%,10.85%,5.59%,5.59%,16.77%,10.73%,5.16%,5.99%,3.68%,3.74%,5440356
15,West,30 - GOA,220731,145341,1754,1038,28729,19620,57667,43438,43438,105674,153130,42530,651,1276,420,65.85%,0.79%,0.47%,13.02%,8.89%,26.13%,19.68%,19.68%,47.87%,69.37%,19.27%,0.29%,0.58%,0.19%,185010
