,Zone,Code with States/ UTs Name,Total Households,No. of Households with Kuccha House 0Room,No. of Households with Kuccha House 1 Room,No. of Households with Kuccha House 2 Room,No. of Households with Kuccha House 3 Room,No. of Households with Kuccha House > 3 Room,% of Households with Kuccha House 0 Room,% of Households with Kuccha House 1 Room,% of Households with Kuccha House 2 Room,% of Households with Kuccha House 3 Room,% of Households with Kuccha House > 3 Room,No. of Households with Pucca House 0 Room,No. of Households with Pucca House 1 Room,No. of Households with Pucca House 2 Room,No. of Households with Pucca House 3 Room,No. of Households with Pucca House > 3 Room,% of Households with Pucca House 0 Room,% of Households with Pucca House 1 Room,% of Households with Pucca House 2 Room,% of Households with Pucca House 3 Room,% of Households with Pucca House > 3 Room,No. of Households with Semi Kuccha (Kuccha Wall & Pucca Roof) House 0 Room,No. of Households with Semi Kuccha (Kuccha Wall & Pucca Roof) House 1 Room,No. of Households with Semi Kuccha (Kuccha Wall & Pucca Roof) House 2 Room,No. of Households with Semi Kuccha (Kuccha Wall & Pucca Roof) House 3 Room,No. of Households with Semi Kuccha (Kuccha Wall & Pucca Roof) House > 3 Room,% of Households with Semi Kuccha (Kuccha Wall & Pucca Roof) House 0 Room,% of Households with Semi Kuccha (Kuccha Wall & Pucca Roof) House 1 Room,% of Households with Semi Kuccha (Kuccha Wall & Pucca Roof) House 2 Room,% of Households with Semi Kuccha (Kuccha Wall & Pucca Roof) House 3 Room,% of Households with Semi Kuccha (Kuccha Wall & Pucca Roof) House > 3 Room,No. of Households with Semi Pucca (Pucca Wall & Kuccha Roof) House 0 Room,No. of Households with Semi Pucca (Pucca Wall & Kuccha Roof) House 1 Room,No. of Households with Semi Pucca (Pucca Wall & Kuccha Roof) House 2 Room,No. of Households with Semi Pucca (Pucca Wall & Kuccha Roof) House 3 Room,No. of Households with Semi Pucca (Pucca Wall & Kuccha Roof) House > 3 Room,% of Households with Semi Pucca (Pucca Wall & Kuccha Roof)  House % of Households with Semi Pucca (Pucca Wall & Kuccha Roof) House 0 Room,% of Households with Semi Pucca (Pucca Wall & Kuccha Roof)  House % of Households with Semi Pucca (Pucca Wall & Kuccha Roof) House 1 Room,% of Households with Semi Pucca (Pucca Wall & Kuccha Roof)  House % of Households with Semi Pucca (Pucca Wall & Kuccha Roof) House 2 Room,% of Households with Semi Pucca (Pucca Wall & Kuccha Roof)  House % of Households with Semi Pucca (Pucca Wall & Kuccha Roof) House 3 Room,% of Households with Semi Pucca (Pucca Wall & Kuccha Roof)  House % of Households with Semi Pucca (Pucca Wall & Kuccha Roof) House > 3 Room
0,All India,,179787454,1373577,25741425,18819717,5293598,3174928,0.76%,14.32%,10.47%,2.94%,1.77%,427467,18842278,33800843,16507284,16661338,0.24%,10.48%,18.80%,9.18%,9.27%,249623,9325220,9581058,3521347,2520134,0.14%,5.19%,5.33%,1.96%,1.40%,161095,4321370,4401036,1432735,970424,0.09%,2.40%,2.45%,0.80%,0.54%
1,North Total,,9104338,8519,359746,328796,118599,81969,0.09%,3.95%,3.61%,1.30%,0.90%,7890,735608,1682790,1327114,1796733,0.09%,8.08%,18.48%,14.58%,19.73%,2253,183969,299597,147300,171098,0.02%,2.02%,3.29%,1.62%,1.88%,3477,448929,711523,316692,242394,0.04%,4.93%,7.82%,3.48%,2.66%
2,North,01 - JAMMU & KASHMIR,1601606,5113,131142,166970,73143,51193,0.32%,8.19%,10.43%,4.57%,3.20%,3999,86381,203304,209185,269074,0.25%,5.39%,12.69%,13.06%,16.80%,1705,43434,75707,48760,38884,0.11%,2.71%,4.73%,3.04%,2.43%,779,40125,61327,34206,33472,0.05%,2.51%,3.83%,2.14%,2.09%
3,North,02 - HIMACHAL PRADESH,1263756,320,18763,21577,8782,8903,0.03%,1.48%,1.71%,0.69%,0.70%,435,68774,171304,150609,356552,0.03%,5.44%,13.56%,11.92%,28.21%,426,95049,161024,68851,104782,0.03%,7.52%,12.74%,5.45%,8.29%,102,2287,3718,2372,3818,0.01%,0.18%,0.29%,0.19%,0.30%
4,North,03 - PUNJAB,3269467,1214,98045,69472,17521,9484,0.04%,3.00%,2.12%,0.54%,0.29%,2812,289548,707248,551667,646832,0.09%,8.86%,21.63%,16.87%,19.78%,27,22265,30723,13783,11906,0.00%,0.68%,0.94%,0.42%,0.36%,1800,198460,316074,140389,93395,0.06%,6.07%,9.67%,4.29%,2.86%
5,North,06 - HARYANA,2969509,1872,111796,70777,19153,12389,0.06%,3.76%,2.38%,0.64%,0.42%,644,290905,600934,415653,524275,0.02%,9.80%,20.24%,14.00%,17.66%,95,23221,32143,15906,15526,0.00%,0.78%,1.08%,0.54%,0.52%,796,208057,330404,139725,111709,0.03%,7.01%,11.13%,4.71%,3.76%
6,East Total,,47307665,72978,10783099,8012461,1923449,1202743,0.15%,22.79%,16.94%,4.07%,2.54%,9398,4162636,5632851,2217065,2794386,0.02%,8.80%,11.91%,4.69%,5.91%,14560,3250036,2526646,568759,452932,0.03%,6.87%,5.34%,1.20%,0.96%,4399,1446874,1318078,334017,218357,0.01%,3.06%,2.79%,0.71%,0.46%
7,East,10 - BIHAR,17829066,12481,3840893,3504482,884351,546193,0.07%,21.54%,19.66%,4.96%,3.06%,2003,1626536,2210912,867317,1372324,0.01%,9.12%,12.40%,4.86%,7.70%,2174,586900,625619,159731,112942,0.01%,3.29%,3.51%,0.90%,0.63%,600,543169,528522,151257,109546,0.00%,3.05%,2.96%,0.85%,0.61%
8,East,19 - WEST BENGAL,15756750,37495,3614010,1241445,145241,90556,0.24%,22.94%,7.88%,0.92%,0.57%,4184,1770886,2102832,693675,661860,0.03%,11.24%,13.35%,4.40%,4.20%,10491,2282550,1424978,238586,213236,0.07%,14.49%,9.04%,1.51%,1.35%,1711,631016,391924,54866,29054,0.01%,4.00%,2.49%,0.35%,0.18%
9,East,20 - JHARKHAND,5044234,3802,831580,1369477,541347,452182,0.08%,16.49%,27.15%,10.73%,8.96%,223,139468,423327,234196,379243,0.00%,2.76%,8.39%,4.64%,7.52%,137,91608,152452,69450,79223,0.00%,1.82%,3.02%,1.38%,1.57%,198,45930,91882,38478,37016,0.00%,0.91%,1.82%,0.76%,0.73%
