,Code with States/ UTs Name,Total Households,Landless households deriving major part of their income from manual casual labour,%,Households with non-agricultural enterprises registered with government,%.1,Households paying income tax / professional tax,%.2,Households with Destitutes/living on alms,%.3,Households with salaried job in government,%.4,Households with salaried job in Public,%.5,Households with salaried job in Private,%.6,Monthly income of highest earning household member is < 5000,%.7,Monthly income of highest earning household member is 5000 - 10000,%.8,Monthly income of highest earning household member is > 10000,%.9,Household with government job and reporting monthly highest income > 5000,%.10,Households having motorized two/three/four wheelers and fishing boats,%.11,Households having 2 wheeler,%.12,Households having 3 wheeler,%.13,Households having 4 wheeler,%.14,Households having motorized fishing boat,%.15,Households Own a refrigerator,%.16,Households Own a landline phone,%.17,Households Owns mobile only,%.18,Households Owns both landline and mobile,%.19,Household without any phone,%.20,Households owning mechanized three/four wheeler agricultural equipments,%.21,"Households having kisan credit card with the credit limit of Rs.50,000 and above",%.22,Total Households owning un-irrrigated land,%.23,Total Households owning irrrigated land,%.24,Total Households owning other land,%.25,Households with irrigation equipments,%.26,Household who have no land but have irrigation equipment,%.27,Household which don't own land but have kissan credit card,%.28
0,All India,179787454,68974464,38.36%,4896989,2.72%,8220522,4.57%,669649,0.37%,8954112,4.98%,1992688,1.11%,6393717,3.56%,133985215,74.52%,30894589,17.18%,14828438,8.25%,8217474,4.57%,37231701,20.71%,31385132,17.46%,1001655,0.56%,4410112,2.45%,434802,0.24%,19785132,11.00%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,7369947,4.10%,6484625,3.61%,53216822,29.60%,45877732,25.52%,21391099,11.90%,17669303,9.83%,1595336,0.89%,702061,0.39%
1,01 - JAMMU & KASHMIR,1601606,173905,10.86%,65904,4.11%,139408,8.70%,5511,0.34%,319404,19.94%,8254,0.52%,30574,1.91%,1080174,67.44%,232753,14.53%,288670,18.02%,296066,18.49%,193030,12.05%,127857,7.98%,4302,0.27%,59037,3.69%,1834,0.11%,288433,18.01%,15479,0.97%,1153745,72.04%,34011,2.12%,398371,24.87%,27566,1.72%,12472,0.78%,960267,59.96%,531408,33.18%,414063,25.85%,53516,3.34%,2396,0.15%,2303,0.14%
2,02 - HIMACHAL PRADESH,1263756,80425,6.36%,108187,8.56%,132523,10.49%,3342,0.26%,291233,23.05%,17885,1.42%,118976,9.41%,676512,53.53%,279896,22.15%,307347,24.32%,271430,21.48%,251529,19.90%,159240,12.60%,2673,0.21%,88233,6.98%,1383,0.11%,531266,42.04%,21031,1.66%,992290,78.52%,127333,10.08%,123102,9.74%,38020,3.01%,68720,5.44%,844823,66.85%,492708,38.99%,245359,19.42%,44023,3.48%,3702,0.29%,4367,0.35%
3,03 - PUNJAB,3269467,1482531,45.34%,182830,5.59%,228547,6.99%,5331,0.16%,244577,7.48%,27950,0.85%,146597,4.48%,1881889,57.56%,813841,24.89%,571951,17.49%,234000,7.16%,1672686,51.16%,1339119,40.96%,18505,0.57%,309054,9.45%,6008,0.18%,2171673,66.42%,42734,1.31%,2599688,79.51%,204062,6.24%,422983,12.94%,528411,16.16%,268189,8.20%,268507,8.21%,609924,18.66%,127955,3.91%,747052,22.85%,43928,1.34%,14352,0.44%
4,04 - CHANDIGARH,15657,2690,17.18%,1182,7.55%,1779,11.36%,17,0.11%,1994,12.74%,312,1.99%,7139,45.60%,7046,45.00%,5119,32.69%,3492,22.30%,1957,12.50%,5796,37.02%,4754,30.36%,140,0.89%,896,5.72%,6,0.04%,7373,47.09%,36,0.23%,14344,91.61%,550,3.51%,727,4.64%,310,1.98%,50,0.32%,235,1.50%,334,2.13%,200,1.28%,466,2.98%,265,1.69%,30,0.19%
5,05 - UTTARAKHAND,1479742,279752,18.91%,75829,5.12%,110323,7.46%,3214,0.22%,184079,12.44%,29635,2.00%,136595,9.23%,938356,63.41%,323538,21.86%,217848,14.72%,174607,11.80%,344556,23.28%,294460,19.90%,4470,0.30%,43881,2.97%,1745,0.12%,340968,23.04%,11192,0.76%,1281517,86.60%,26185,1.77%,160758,10.86%,54261,3.67%,59135,4.00%,673942,45.54%,471192,31.84%,183009,12.37%,87594,5.92%,17997,1.22%,6849,0.46%
6,06 - HARYANA,2969509,1126029,37.92%,224940,7.57%,203285,6.85%,9381,0.32%,265164,8.93%,24711,0.83%,164082,5.53%,1750716,58.96%,732974,24.68%,483377,16.28%,257813,8.68%,1015735,34.21%,804203,27.08%,15734,0.53%,191490,6.45%,4308,0.15%,1157173,38.97%,18797,0.63%,2509300,84.50%,66674,2.25%,374159,12.60%,342367,11.53%,286030,9.63%,750104,25.26%,1175529,39.59%,249105,8.39%,699011,23.54%,49156,1.66%,11524,0.39%
7,07 - NCT OF DELHI,1051097,132983,12.65%,205428,19.54%,186173,17.71%,4358,0.41%,98213,9.34%,86466,8.23%,478921,45.56%,307524,29.26%,443975,42.24%,299598,28.50%,87215,8.30%,531213,50.54%,382081,36.35%,30225,2.88%,104439,9.94%,14468,1.38%,692751,65.91%,43719,4.16%,924746,87.98%,41229,3.92%,41403,3.94%,48760,4.64%,39010,3.71%,59523,5.66%,62595,5.96%,55165,5.25%,89674,8.53%,66877,6.36%,20736,1.97%
8,08 - RAJASTHAN,10223073,2675431,26.17%,185669,1.82%,336911,3.30%,47930,0.47%,570131,5.58%,62618,0.61%,292725,2.86%,7474932,73.12%,1759192,17.21%,981788,9.60%,549036,5.37%,2080351,20.35%,1654657,16.19%,22933,0.22%,395238,3.87%,7523,0.07%,937819,9.17%,30882,0.30%,6739486,65.92%,198653,1.94%,3254052,31.83%,522492,5.11%,860480,8.42%,4632052,45.31%,3386147,33.12%,1271564,12.44%,1736809,16.99%,37926,0.37%,17111,0.17%
9,09 - UTTAR PRADESH,26015592,7931018,30.49%,678941,2.61%,756362,2.91%,45202,0.17%,1043596,4.01%,396311,1.52%,801386,3.08%,18635376,71.63%,5223264,20.08%,2136161,8.21%,974066,3.74%,6681978,25.68%,5882460,22.61%,141623,0.54%,576435,2.22%,81460,0.31%,2225416,8.55%,194255,0.75%,22550465,86.68%,286169,1.10%,2984006,11.47%,1652491,6.35%,1939619,7.46%,5085281,19.55%,13046764,50.15%,3120277,11.99%,4308372,16.56%,295951,1.14%,125925,0.48%
