,Zone,Code with States/ UTs Name,Total Population,1 = In Seeing,% 1 = In Seeing,2 = In Hearing,% 2 = In Hearing,3 = In Speech,% 3 = In Speech,4 = In Movement,% 4 = In Movement,5 = Mental Retardation,% 5 = Mental Retardation,6 = Mental Illness,% 6 = Mental Illness,7 = Other disability,% 7 = Other disability,8 = Multiple disability,% 8 = Multiple disability,9 = Not disabled,% 9 = Not disabled
0,All India,,886692406,2382859,0.27%,1279456,0.14%,897419,0.10%,3568501,0.40%,859818,0.10%,675682,0.08%,2037387,0.23%,1512557,0.17%,872997751,98.46%
1,North Total,,47662769,127480,0.27%,52093,0.11%,36382,0.08%,170984,0.36%,31460,0.07%,38803,0.08%,117872,0.25%,78669,0.17%,47007299,98.62%
2,North,01 - JAMMU & KASHMIR,8822753,28964,0.33%,13217,0.15%,9893,0.11%,39860,0.45%,7540,0.09%,8633,0.10%,29973,0.34%,28707,0.33%,8655656,98.11%
3,North,02 - HIMACHAL PRADESH,5940056,18576,0.31%,11524,0.19%,7022,0.12%,26394,0.44%,4030,0.07%,5023,0.08%,15566,0.26%,9107,0.15%,5842772,98.36%
4,North,03 - PUNJAB,16864339,42653,0.25%,12595,0.07%,7984,0.05%,60565,0.36%,11644,0.07%,13973,0.08%,39954,0.24%,21263,0.13%,16653706,98.75%
5,North,06 - HARYANA,16035621,37287,0.23%,14757,0.09%,11483,0.07%,44165,0.28%,8246,0.05%,11174,0.07%,32379,0.20%,19592,0.12%,15855165,98.87%
6,East Total,,233233971,737689,0.32%,355204,0.15%,305111,0.13%,974278,0.42%,258880,0.11%,231275,0.10%,702717,0.30%,503922,0.22%,228777510,98.09%
7,East,10 - BIHAR,98552478,238298,0.24%,94642,0.10%,107982,0.11%,388295,0.39%,86130,0.09%,75112,0.08%,186344,0.19%,152894,0.16%,96872352,98.30%
8,East,19 - WEST BENGAL,70768255,293362,0.41%,121166,0.17%,102071,0.14%,301970,0.43%,95498,0.13%,84189,0.12%,293249,0.41%,222938,0.32%,69252134,97.86%
9,East,20 - JHARKHAND,27397111,104991,0.38%,56516,0.21%,53558,0.20%,112910,0.41%,26150,0.10%,21511,0.08%,50864,0.19%,45612,0.17%,26890114,98.15%
10,East,21 - ODISHA,36516127,101038,0.28%,82880,0.23%,41500,0.11%,171103,0.47%,51102,0.14%,50463,0.14%,172260,0.47%,82478,0.23%,35762910,97.94%
11,West Total,,153880989,419080,0.27%,309420,0.20%,140078,0.09%,825599,0.54%,179635,0.12%,108431,0.07%,281734,0.18%,282987,0.18%,151322803,98.34%
12,West,08 - RAJASTHAN,54412419,207785,0.38%,88884,0.16%,44219,0.08%,312099,0.57%,60257,0.11%,52367,0.10%,130998,0.24%,155043,0.28%,53360746,98.07%
13,West,24 - GUJARAT,34538246,82136,0.24%,44315,0.13%,32646,0.09%,122912,0.36%,33610,0.10%,24505,0.07%,34276,0.10%,38546,0.11%,34116075,98.78%
14,West,27 - MAHARASHTRA,63985959,127473,0.20%,175254,0.27%,62653,0.10%,384976,0.60%,85046,0.13%,30655,0.05%,114278,0.18%,87863,0.14%,62915785,98.33%
15,West,30 - GOA,944365,1686,0.18%,967,0.10%,560,0.06%,5612,0.59%,722,0.08%,904,0.10%,2182,0.23%,1535,0.16%,930197,98.50%
16,South Total,,164522575,392157,0.24%,220538,0.13%,180604,0.11%,618849,0.38%,171769,0.10%,112415,0.07%,318205,0.19%,225009,0.14%,162260995,98.63%
17,South,28 - ANDHRA PRADESH,36065455,84654,0.23%,52611,0.15%,36466,0.10%,112104,0.31%,21205,0.06%,17447,0.05%,73654,0.20%,40966,0.11%,35611965,98.74%
18,South,29 - KARNATAKA,38183242,105080,0.28%,48473,0.13%,49297,0.13%,177951,0.47%,34977,0.09%,27299,0.07%,73967,0.19%,48406,0.13%,37614255,98.51%
19,South,32 - KERALA,27232419,56210,0.21%,31397,0.12%,21133,0.08%,110233,0.40%,50854,0.19%,38680,0.14%,62523,0.23%,54415,0.20%,26806778,98.44%
20,South,33 - TAMILNADU,39644183,66697,0.17%,49117,0.12%,47210,0.12%,125881,0.32%,49723,0.13%,16699,0.04%,53673,0.14%,55724,0.14%,39178566,98.83%
