,Zone,Code with States/ UTs Name,Total Households,Total Population,Gender Status of the Households (In Numbers) Male,Gender Status of the Households (In Numbers) Fermale,Gender Status of the Households (In Numbers) Transgender,Marital status (Number of Persons)  Never Married,Marital status (Number of Persons)  Never Married %,Marital status (Number of Persons)  Currently Married,Marital status (Number of Persons)  Currently Married %,Marital status (Number of Persons)  Widowed,Marital status (Number of Persons)  Widowed %,Marital status (Number of Persons)  Separated,Marital status (Number of Persons)  Separated %,Marital status (Number of Persons)  Divorced,Marital status (Number of Persons)  Divorced %,Average Household size,Male headed Households,% Male headed Households,Women headed Households,% Women headed Households
0,All India,,179787454,886692406,459450568,426987078,75008,414501101,46.75%,397242233,44.80%,34893109,3.94%,3558882,0.40%,1144156,0.13%,4.93%,156583770,87.09%,23162626,12.88%
1,North Total,,9104338,47662769,25020249,22641209,923,22333754,46.86%,21564705,45.24%,1928910,4.05%,137560,0.29%,62092,0.13%,5.24%,7849627,86.22%,1254438,13.78%
2,North,01 - JAMMU & KASHMIR,1601606,8822753,4569380,4252586,477,4626150,52.43%,3328047,37.72%,256240,2.90%,27956,0.32%,12765,0.14%,5.51%,1451799,90.65%,149677,9.35%
3,North,02 - HIMACHAL PRADESH,1263756,5940056,3006095,2933855,64,2627490,44.23%,2866389,48.26%,300103,5.05%,21071,0.35%,8672,0.15%,4.70%,991675,78.47%,272025,21.53%
4,North,03 - PUNJAB,3269467,16864339,8878087,7986172,46,7565197,44.86%,7908636,46.90%,740617,4.39%,48484,0.29%,26974,0.16%,5.16%,2785036,85.18%,484408,14.82%
5,North,06 - HARYANA,2969509,16035621,8566687,7468596,336,7514917,46.86%,7461633,46.53%,631950,3.94%,40049,0.25%,13681,0.09%,5.40%,2621117,88.27%,348328,11.73%
6,East Total,,47307665,233233971,121047781,112045204,26631,112588925,48.27%,105259146,45.13%,8066971,3.46%,753498,0.32%,275195,0.12%,4.93%,42067610,88.92%,5217183,11.03%
7,East,10 - BIHAR,17829066,98552478,51842559,46616605,10181,50619881,51.36%,42178160,42.80%,2472321,2.51%,234386,0.24%,62665,0.06%,5.53%,16076496,90.17%,1735780,9.74%
8,East,19 - WEST BENGAL,15756750,70768255,36482898,34275226,9864,31437816,44.42%,34173706,48.29%,2980048,4.21%,228196,0.32%,139846,0.20%,4.49%,13875545,88.06%,1879887,11.93%
9,East,20 - JHARKHAND,5044234,27397111,14081321,13283111,2270,13619564,49.71%,11695281,42.69%,978471,3.57%,97739,0.36%,24863,0.09%,5.43%,4513939,89.49%,527273,10.45%
10,East,21 - ODISHA,8677615,36516127,18641003,17870262,4316,16911664,46.31%,17211999,47.14%,1636131,4.48%,193177,0.53%,47821,0.13%,4.21%,7601630,87.60%,1074243,12.38%
11,West Total,,31206237,153880989,79694029,74171381,12636,67301177,43.74%,70664503,45.92%,6153524,4.00%,617740,0.40%,256972,0.17%,4.93%,27821343,89.15%,3380280,10.83%
12,West,08 - RAJASTHAN,10223073,54412419,28318215,26092049,1791,25294234,46.49%,23916683,43.95%,1805957,3.32%,251157,0.46%,44910,0.08%,5.32%,9332680,91.29%,889899,8.70%
13,West,24 - GUJARAT,6920473,34538246,17885693,16647573,4380,14156833,40.99%,14977697,43.37%,1290636,3.74%,98031,0.28%,100633,0.29%,4.99%,6178359,89.28%,741007,10.71%
14,West,27 - MAHARASHTRA,13841960,63985959,33015693,30961874,6419,27421391,42.86%,31328110,48.96%,2998768,4.69%,265508,0.41%,110739,0.17%,4.62%,12144239,87.73%,1694720,12.24%
15,West,30 - GOA,220731,944365,474428,469885,46,428719,45.40%,442013,46.81%,58163,6.16%,3044,0.32%,690,0.07%,4.28%,166065,75.23%,54654,24.76%
16,South Total,,39443917,164522575,83015881,81487044,12744,67743275,41.18%,79199589,48.14%,8994228,5.47%,993526,0.60%,227027,0.14%,4.17%,32101845,81.39%,7337785,18.60%
17,South,28 - ANDHRA PRADESH,9344180,36065455,18307204,17754080,1743,14509937,40.23%,18254799,50.62%,2073919,5.75%,255008,0.71%,51876,0.14%,3.86%,7867925,84.20%,1475370,15.79%
18,South,29 - KARNATAKA,8048664,38183242,19525061,18655441,2716,17147803,44.91%,18093384,47.39%,2028415,5.31%,195245,0.51%,27434,0.07%,4.74%,6553700,81.43%,1494466,18.57%
