,Zone,Code with States/ UTs Name,Total Households,Total Land,Number of Households Own any Land Number of Households with Land,Number of Households Own any Land % of Households with Land,Number of Households Own any Land Number of Households with No Land,Number of Households Own any Land % of Households with No Land,Total Un-irrigated land in acres,% Total Un-irrigated land in acres,With assured irrigation for two crops (in acres),% With assured irrigation for two crops (in acres),Other irrigated land (in acres),% Other irrigated land (in acres),Number of Households owning Mechanized Three/Four Wheeler Agricultural equipment,% of Households owning Mechanized Three/Four Wheeler Agricultural equipment,"Number of Households owning Irrigation equipment (including diesel/kerosene/electric pumpset, sprinkler/drip irrigation system, etc.)","% of Households owning Irrigation equipment (including diesel/kerosene/electric pumpset, sprinkler/drip irrigation system, etc.)","Number of Households having Kisan Credit Card with credit limit of Rs 50,000 or above","% of Households having Kisan Credit Card with credit limit of Rs 50,000 or above"
0,All India,,179787454,1058786043.81,78355329,43.58%,101422599,56.41%,428413840.52,40.46%,389500635.79,36.79%,240904708.68,22.75%,7369947,4.10%,17669303,9.83%,6484625,3.61%
1,North Total,,9104338,40686145.69,4695989,51.58%,4406332,48.40%,18193376.37,44.72%,16718610.08,41.09%,5774257.8,14.19%,936364,10.28%,1543602,16.95%,635411,6.98%
2,North,01 - JAMMU & KASHMIR,1601606,3543854.22,1242506,77.58%,359099,22.42%,1863813.6,52.59%,882697.78,24.91%,797441.39,22.50%,27566,1.72%,53516,3.34%,12472,0.78%
3,North,02 - HIMACHAL PRADESH,1263756,10813614.2,985674,78.00%,278082,22.00%,6959355.9,64.36%,2717073.62,25.13%,1137184.69,10.52%,38020,3.01%,44023,3.48%,68720,5.44%
4,North,03 - PUNJAB,3269467,9428033.75,1160442,35.49%,2109025,64.51%,3493333.86,37.05%,4514284.34,47.88%,1420415.54,15.07%,528411,16.16%,747052,22.85%,268189,8.20%
5,North,06 - HARYANA,2969509,16900643.52,1307367,44.03%,1660126,55.91%,5876873.01,34.77%,8604554.34,50.91%,2419216.18,14.31%,342367,11.53%,699011,23.54%,286030,9.63%
6,East Total,,47307665,426395262.53,18029571,38.11%,29274316,61.88%,170431759.31,39.97%,169473851.59,39.75%,86515103.76,20.29%,799016,1.69%,1916362,4.05%,807905,1.71%
7,East,10 - BIHAR,17829066,307665291.22,6133581,34.40%,11692246,65.58%,116907991.8,38.00%,123538336.53,40.15%,67244258.51,21.86%,444393,2.49%,918035,5.15%,422588,2.37%
8,East,19 - WEST BENGAL,15756750,85590406.1,4786168,30.38%,10970506,69.62%,33651661.26,39.32%,38583446.63,45.08%,13355379.7,15.60%,177918,1.13%,567424,3.60%,152063,0.97%
9,East,20 - JHARKHAND,5044234,16209942.33,3143227,62.31%,1900993,37.69%,9273993.45,57.21%,3999295.98,24.67%,2936702.02,18.12%,100307,1.99%,288660,5.72%,102859,2.04%
10,East,21 - ODISHA,8677615,16929622.88,3966595,45.71%,4710571,54.28%,10598112.8,62.60%,3352772.45,19.80%,2978763.53,17.59%,76398,0.88%,142243,1.64%,130395,1.50%
11,West Total,,31206237,136781601.32,15863429,50.83%,15342304,49.16%,69400500.2,50.74%,48184458.07,35.23%,19196704.68,14.03%,1457739,4.67%,4187787,13.42%,1425070,4.57%
12,West,08 - RAJASTHAN,10223073,51909263.37,6341873,62.03%,3880917,37.96%,27478746.16,52.94%,18358469.55,35.37%,6072047.66,11.70%,522492,5.11%,1736809,16.99%,860480,8.42%
13,West,24 - GUJARAT,6920473,35939410.66,3090817,44.66%,3829615,55.34%,18770196.92,52.23%,11854426.06,32.98%,5314794.18,14.79%,560202,8.09%,943301,13.63%,175319,2.53%
14,West,27 - MAHARASHTRA,13841960,44463695.65,6412238,46.32%,7429616,53.67%,20891387.08,46.99%,16140444.32,36.30%,7431919.38,16.71%,373291,2.70%,1504275,10.87%,388233,2.80%
15,West,30 - GOA,220731,4469231.64,18501,8.38%,202156,91.58%,2260170.04,50.57%,1831118.14,40.97%,377943.46,8.46%,1754,0.79%,3402,1.54%,1038,0.47%
16,South Total,,39443917,205604112.64,13604806,34.49%,25837383,65.50%,56700455.56,27.58%,65110539.96,31.67%,83798270.7,40.76%,1782364,4.52%,3396635,8.61%,647277,1.64%
17,South,28 - ANDHRA PRADESH,9344180,45946858.96,2488117,26.63%,6855492,73.37%,11102078.72,24.16%,16694313.04,36.33%,18150494.79,39.50%,155573,1.66%,493826,5.28%,120918,1.29%
18,South,29 - KARNATAKA,8048664,34579474.11,4300624,53.43%,3748026,46.57%,17225253.98,49.81%,10092895.39,29.19%,7261337.74,21.00%,603204,7.49%,795543,9.88%,209811,2.61%
