,"State/UT
					"," State/UT Code - Name 
					
					","Total Household
				","No of Household having Air Conditioner (AC)
					availability No
					of Household having Air
						Conditioner (AC)
","No of Household having Air Conditioner (AC)
					availability %
					of Household having Air
						Conditioner (AC)
","No of Household having Air Conditioner (AC)
					availability No
					of Household not having Air
						Conditioner (AC)
","No of Household having Air Conditioner (AC)
					availability %
					of Household not having Air
						Conditioner (AC)
"
0,,All India,65133952,6285809,9.65%,58745005,90.19%
1,STATE,28  - ANDHRA PRADESH,2925984,198465,6.78%,2726243,93.17%
2,STATE,12  - ARUNACHAL PRADESH,58375,1326,2.27%,57049,97.73%
3,STATE,18  - ASSAM,683779,23767,3.48%,659882,96.51%
4,STATE,10  - BIHAR,2245176,89818,4.00%,2152488,95.87%
5,STATE,22  - CHHATTISGARH,1173799,57248,4.88%,1108964,94.48%
6,STATE,30  - GOA,82219,15556,18.92%,66563,80.96%
7,STATE,24  - GUJARAT,4708936,492853,10.47%,4214942,89.51%
8,STATE,06  - HARYANA,1661450,278626,16.77%,1378650,82.98%
9,STATE,02  - HIMACHAL PRADESH,163609,7266,4.44%,156343,95.56%
10,STATE,01  - JAMMU & KASHMIR,492475,54482,11.06%,437993,88.94%
11,STATE,20  - JHARKHAND,997697,82960,8.32%,913530,91.56%
12,STATE,29  - KARNATAKA,5090399,216924,4.26%,4869054,95.65%
13,STATE,32  - KERALA,1379341,137755,9.99%,1241492,90.01%
14,STATE,23  - MADHYA PRADESH,3434918,126618,3.69%,3255976,94.79%
15,STATE,27  - MAHARASHTRA,9120640,913692,10.02%,8201936,89.93%
16,STATE,14  - MANIPUR,130776,1454,1.11%,129322,98.89%
17,STATE,17  - MEGHALAYA,68234,1270,1.86%,66964,98.14%
18,STATE,15  - MIZORAM,114521,1633,1.43%,112679,98.39%
19,STATE,13  - NAGALAND,94854,1772,1.87%,93072,98.12%
20,STATE,21  - ODISHA,1264486,107772,8.52%,1152209,91.12%
21,STATE,03  - PUNJAB,1762732,332975,18.89%,1429757,81.11%
22,STATE,08  - RAJASTHAN,2913518,176953,6.07%,2735892,93.90%
23,STATE,11  - SIKKIM,31291,285,0.91%,31006,99.09%
24,STATE,33  - TAMILNADU,7433837,1071868,14.42%,6349067,85.41%
25,STATE,28  - TELANGANA,2600702,204833,7.88%,2395232,92.10%
26,STATE,16  - TRIPURA,178559,3526,1.97%,175025,98.02%
27,STATE,05  - UTTARAKHAND,489031,36577,7.48%,452413,92.51%
28,STATE,09  - UTTAR PRADESH,6460192,528282,8.18%,5928631,91.77%
29,STATE,19  - WEST BENGAL,4610394,338753,7.35%,4271217,92.64%
30,UT,35  - ANDAMAN & NICOBAR ISLANDS,24236,1303,5.38%,22933,94.62%
31,UT,04  - CHANDIGARH,198576,53482,26.93%,145094,73.07%
32,UT,26  - DADRA & NAGAR HAVELI,21219,3051,14.38%,18168,85.62%
33,UT,25  - DAMAN AND DIU,13173,1766,13.41%,11407,86.59%
34,UT,07  - NCT OF DELHI,2340216,688888,29.44%,1651214,70.56%
35,UT,34  - PUDUCHERRY,164608,32010,19.45%,132598,80.55%
