,"State/UT
					"," State/UT Code - Name 
					
					","Total Household
				","No of Household Having Computer/Laptop
					Availability No
					of Household having
						Computer/Laptop With Internet
","No of Household Having Computer/Laptop
					Availability %
					of Household having
						Computer/Laptop With Internet
","No of Household Having Computer/Laptop
					Availability No
					of Household having
						Computer/Laptop Without Internet
","No of Household Having Computer/Laptop
					Availability %
					of Household having
						Computer/Laptop Without Internet
","No of Household Having Computer/Laptop
					Availability No
					of Household having None
","No of Household Having Computer/Laptop
					Availability %
					of Household having None
"
0,,All India,65133952,6233219,9.57%,4145060,6.36%,54652246,83.91%
1,STATE,28  - ANDHRA PRADESH,2925984,114748,3.92%,91613,3.13%,2718350,92.90%
2,STATE,12  - ARUNACHAL PRADESH,58375,4964,8.50%,5175,8.87%,48236,82.63%
3,STATE,18  - ASSAM,683779,51908,7.59%,71782,10.50%,559742,81.86%
4,STATE,10  - BIHAR,2245176,96256,4.29%,86206,3.84%,2059844,91.75%
5,STATE,22  - CHHATTISGARH,1173799,63226,5.39%,81388,6.93%,1021598,87.03%
6,STATE,30  - GOA,82219,13107,15.94%,10526,12.80%,58486,71.13%
7,STATE,24  - GUJARAT,4708936,373655,7.94%,315277,6.70%,4018863,85.35%
8,STATE,06  - HARYANA,1661450,226212,13.62%,130651,7.86%,1300413,78.27%
9,STATE,02  - HIMACHAL PRADESH,163609,21420,13.09%,19703,12.04%,122486,74.87%
10,STATE,01  - JAMMU & KASHMIR,492475,46558,9.45%,36392,7.39%,409525,83.16%
11,STATE,20  - JHARKHAND,997697,78183,7.84%,70161,7.03%,848146,85.01%
12,STATE,29  - KARNATAKA,5090399,529612,10.40%,267544,5.26%,4288822,84.25%
13,STATE,32  - KERALA,1379341,206671,14.98%,120446,8.73%,1052166,76.28%
14,STATE,23  - MADHYA PRADESH,3434918,179047,5.21%,202272,5.89%,3001275,87.38%
15,STATE,27  - MAHARASHTRA,9120640,1256187,13.77%,730518,8.01%,7128770,78.16%
16,STATE,14  - MANIPUR,130776,5547,4.24%,7832,5.99%,117397,89.77%
17,STATE,17  - MEGHALAYA,68234,5463,8.01%,7058,10.34%,55713,81.65%
18,STATE,15  - MIZORAM,114521,9120,7.96%,22953,20.04%,82239,71.81%
19,STATE,13  - NAGALAND,94854,5257,5.54%,8851,9.33%,80736,85.12%
20,STATE,21  - ODISHA,1264486,101646,8.04%,50017,3.96%,1108319,87.65%
21,STATE,03  - PUNJAB,1762732,232105,13.17%,149191,8.46%,1381436,78.37%
22,STATE,08  - RAJASTHAN,2913518,206248,7.08%,192263,6.60%,2514334,86.30%
23,STATE,11  - SIKKIM,31291,4296,13.73%,2669,8.53%,24326,77.74%
24,STATE,33  - TAMILNADU,7433837,635356,8.55%,292661,3.94%,6492918,87.34%
25,STATE,28  - TELANGANA,2600702,184579,7.10%,264109,10.16%,2151377,82.72%
26,STATE,16  - TRIPURA,178559,7848,4.40%,9634,5.40%,161069,90.20%
27,STATE,05  - UTTARAKHAND,489031,54227,11.09%,44736,9.15%,390061,79.76%
28,STATE,09  - UTTAR PRADESH,6460192,481234,7.45%,366122,5.67%,5609566,86.83%
29,STATE,19  - WEST BENGAL,4610394,406079,8.81%,212880,4.62%,3991009,86.57%
30,UT,35  - ANDAMAN & NICOBAR ISLANDS,24236,2968,12.25%,1374,5.67%,19894,82.08%
31,UT,04  - CHANDIGARH,198576,48194,24.27%,20029,10.09%,130353,65.64%
32,UT,26  - DADRA & NAGAR HAVELI,21219,1853,8.73%,1739,8.20%,17627,83.07%
33,UT,25  - DAMAN AND DIU,13173,1102,8.37%,1292,9.81%,10779,81.83%
34,UT,07  - NCT OF DELHI,2340216,560111,23.93%,239763,10.25%,1540228,65.82%
35,UT,34  - PUDUCHERRY,164608,18232,11.08%,10233,6.22%,136143,82.71%
