,"State/UT
					"," State/UT Code - Name 
					
					","Total Household
				","No of Household having Exclusive Kitchen
					Availability No
					of Household having Exclusive
						Kitchen Availability
","No of Household having Exclusive Kitchen
					Availability %
					of Household having Exclusive
						Kitchen Availability
","No of Household having Exclusive Kitchen
					Availability No
					of Household not having Exclusive
						Kitchen Availability
","No of Household having Exclusive Kitchen
					Availability %
					of Household not having Exclusive
						Kitchen Availability
"
0,,All India,65133952,47796811,73.38%,17328776,26.60%
1,STATE,28  - ANDHRA PRADESH,2925984,2072770,70.84%,852840,29.15%
2,STATE,12  - ARUNACHAL PRADESH,58375,40063,68.63%,18312,31.37%
3,STATE,18  - ASSAM,683779,476582,69.70%,207105,30.29%
4,STATE,10  - BIHAR,2245176,1115914,49.70%,1127968,50.24%
5,STATE,22  - CHHATTISGARH,1173799,727297,61.96%,446401,38.03%
6,STATE,30  - GOA,82219,71216,86.62%,11003,13.38%
7,STATE,24  - GUJARAT,4708936,3651019,77.53%,1057706,22.46%
8,STATE,06  - HARYANA,1661450,1303530,78.46%,357733,21.53%
9,STATE,02  - HIMACHAL PRADESH,163609,139908,85.51%,23701,14.49%
10,STATE,01  - JAMMU & KASHMIR,492475,362544,73.62%,129931,26.38%
11,STATE,20  - JHARKHAND,997697,635799,63.73%,361896,36.27%
12,STATE,29  - KARNATAKA,5090399,4494774,88.30%,595598,11.70%
13,STATE,32  - KERALA,1379341,1251052,90.70%,128226,9.30%
14,STATE,23  - MADHYA PRADESH,3434918,2208381,64.29%,1226013,35.69%
15,STATE,27  - MAHARASHTRA,9120640,6153999,67.47%,2966147,32.52%
16,STATE,14  - MANIPUR,130776,83072,63.52%,47704,36.48%
17,STATE,17  - MEGHALAYA,68234,45003,65.95%,23224,34.04%
18,STATE,15  - MIZORAM,114521,37983,33.17%,76538,66.83%
19,STATE,13  - NAGALAND,94854,83865,88.41%,10979,11.57%
20,STATE,21  - ODISHA,1264486,718110,56.79%,546376,43.21%
21,STATE,03  - PUNJAB,1762732,1473559,83.60%,289173,16.40%
22,STATE,08  - RAJASTHAN,2913518,2079036,71.36%,834482,28.64%
23,STATE,11  - SIKKIM,31291,24936,79.69%,6355,20.31%
24,STATE,33  - TAMILNADU,7433837,5707261,76.77%,1723403,23.18%
25,STATE,28  - TELANGANA,2600702,2034238,78.22%,566363,21.78%
26,STATE,16  - TRIPURA,178559,124759,69.87%,53796,30.13%
27,STATE,05  - UTTARAKHAND,489031,415619,84.99%,73412,15.01%
28,STATE,09  - UTTAR PRADESH,6460192,4962962,76.82%,1495568,23.15%
29,STATE,19  - WEST BENGAL,4610394,3044258,66.03%,1566097,33.97%
30,UT,35  - ANDAMAN & NICOBAR ISLANDS,24236,19269,79.51%,4967,20.49%
31,UT,04  - CHANDIGARH,198576,153140,77.12%,45436,22.88%
32,UT,26  - DADRA & NAGAR HAVELI,21219,16928,79.78%,4291,20.22%
33,UT,25  - DAMAN AND DIU,13173,12049,91.47%,1124,8.53%
34,UT,07  - NCT OF DELHI,2340216,1928914,82.42%,411302,17.58%
35,UT,34  - PUDUCHERRY,164608,127002,77.15%,37606,22.85%
