,"State/UT
					"," State/UT Code - Name 
					
					","Total Population
				","No
					of Male in Population
","%
					of Male in Population
","No
					of Female in Population
","%
					of Female in Population
","No
					of Transgender in Population
","%
					of Transgender in Population
"
0,,All India,299994863,156565692,52.19%,143379316,47.79%,30314,0.01%
1,STATE,28  - ANDHRA PRADESH,11480183,5824376,50.73%,5651819,49.23%,441,0.00%
2,STATE,12  - ARUNACHAL PRADESH,245417,126835,51.68%,118561,48.31%,21,0.01%
3,STATE,18  - ASSAM,3107657,1596414,51.37%,1511083,48.62%,160,0.01%
4,STATE,10  - BIHAR,12514147,6674777,53.34%,5831419,46.60%,1464,0.01%
5,STATE,22  - CHHATTISGARH,5390879,2749469,51.00%,2641139,48.99%,266,0.00%
6,STATE,30  - GOA,343409,173419,50.50%,169974,49.50%,16,0.00%
7,STATE,24  - GUJARAT,21609646,11527516,53.34%,10079066,46.64%,2502,0.01%
8,STATE,06  - HARYANA,7595223,4053801,53.37%,3539418,46.60%,288,0.00%
9,STATE,02  - HIMACHAL PRADESH,622148,332583,53.46%,289555,46.54%,10,0.00%
10,STATE,01  - JAMMU & KASHMIR,2774003,1431996,51.62%,1341837,48.37%,170,0.01%
11,STATE,20  - JHARKHAND,5260738,2768998,52.64%,2490837,47.35%,392,0.01%
12,STATE,29  - KARNATAKA,21797367,11220547,51.48%,10574106,48.51%,2508,0.01%
13,STATE,32  - KERALA,5799292,2816279,48.56%,2982504,51.43%,502,0.01%
14,STATE,23  - MADHYA PRADESH,17315162,9057851,52.31%,8252620,47.66%,3913,0.02%
15,STATE,27  - MAHARASHTRA,41279012,21711852,52.60%,19561801,47.39%,5318,0.01%
16,STATE,14  - MANIPUR,638198,314421,49.27%,323746,50.73%,31,0.00%
17,STATE,17  - MEGHALAYA,351156,174567,49.71%,176578,50.28%,11,0.00%
18,STATE,15  - MIZORAM,542105,269227,49.66%,272838,50.33%,40,0.01%
19,STATE,13  - NAGALAND,450764,232716,51.63%,218029,48.37%,19,0.00%
20,STATE,21  - ODISHA,5500873,2853600,51.88%,2646800,48.12%,463,0.01%
21,STATE,03  - PUNJAB,8393287,4460536,53.14%,3932667,46.85%,74,0.00%
22,STATE,08  - RAJASTHAN,15403457,8038497,52.19%,7364408,47.81%,540,0.00%
23,STATE,11  - SIKKIM,126596,64744,51.14%,61852,48.86%,0,0.00%
24,STATE,33  - TAMILNADU,28410592,14292420,50.31%,14114609,49.68%,3482,0.01%
25,STATE,28  - TELANGANA,11036187,5726892,51.89%,5308457,48.10%,723,0.01%
26,STATE,16  - TRIPURA,715951,365831,51.10%,350079,48.90%,14,0.00%
27,STATE,05  - UTTARAKHAND,2326014,1224943,52.66%,1100827,47.33%,243,0.01%
28,STATE,09  - UTTAR PRADESH,37133043,19761125,53.22%,17364023,46.76%,3300,0.01%
29,STATE,19  - WEST BENGAL,19623033,10132859,51.64%,9487335,48.35%,2272,0.01%
30,UT,35  - ANDAMAN & NICOBAR ISLANDS,96567,50163,51.95%,46385,48.03%,19,0.02%
31,UT,04  - CHANDIGARH,849759,461152,54.27%,388575,45.73%,1,0.00%
32,UT,26  - DADRA & NAGAR HAVELI,85788,47936,55.88%,37852,44.12%,0,0.00%
33,UT,25  - DAMAN AND DIU,57708,29084,50.40%,28624,49.60%,0,0.00%
34,UT,07  - NCT OF DELHI,10440249,5664762,54.26%,4774145,45.73%,1110,0.01%
35,UT,34  - PUDUCHERRY,679253,333504,49.10%,345748,50.90%,1,0.00%
