,"State/UT
					"," State/UT Code - Name 
					
					","Total Households
				","No of Households having refrigerator
					availability No
					of Household having refrigerator
","No of Households having refrigerator
					availability %
					of Household having refrigerator
","No of Households having refrigerator
					availability No
					of Household not having
						refrigerator
","No of Households having refrigerator
					availability %
					of Household not having
						refrigerator
"
0,,All India,65133952,31484705,48.34%,33648053,51.66  %
1,STATE,28  - ANDHRA PRADESH,2925984,1013959,34.65%,1911744,65.34  %
2,STATE,12  - ARUNACHAL PRADESH,58375,17511,30.00%,40864,70.00  %
3,STATE,18  - ASSAM,683779,267743,39.16%,416036,60.84  %
4,STATE,10  - BIHAR,2245176,400120,17.82%,1844211,82.14  %
5,STATE,22  - CHHATTISGARH,1173799,396552,33.78%,777247,66.22  %
6,STATE,30  - GOA,82219,65079,79.15%,17140,20.85  %
7,STATE,24  - GUJARAT,4708936,2430319,51.61%,2278617,48.39  %
8,STATE,06  - HARYANA,1661450,1113510,67.02%,547937,32.98  %
9,STATE,02  - HIMACHAL PRADESH,163609,114156,69.77%,49453,30.23  %
10,STATE,01  - JAMMU & KASHMIR,492475,326892,66.38%,165583,33.62  %
11,STATE,20  - JHARKHAND,997697,361975,36.28%,635720,63.72  %
12,STATE,29  - KARNATAKA,5090399,2095007,41.16%,2995389,58.84  %
13,STATE,32  - KERALA,1379341,876488,63.54%,502838,36.45  %
14,STATE,23  - MADHYA PRADESH,3434918,1250217,36.40%,2184694,63.60  %
15,STATE,27  - MAHARASHTRA,9120640,5104324,55.96%,4016315,44.04  %
16,STATE,14  - MANIPUR,130776,34160,26.12%,96616,73.88  %
17,STATE,17  - MEGHALAYA,68234,19372,28.39%,48862,71.61  %
18,STATE,15  - MIZORAM,114521,75240,65.70%,39281,34.30  %
19,STATE,13  - NAGALAND,94854,30718,32.38%,64136,67.62  %
20,STATE,21  - ODISHA,1264486,467428,36.97%,797056,63.03  %
21,STATE,03  - PUNJAB,1762732,1425096,80.85%,337636,19.15  %
22,STATE,08  - RAJASTHAN,2913518,1352508,46.42%,1561010,53.58  %
23,STATE,11  - SIKKIM,31291,13219,42.25%,18072,57.75  %
24,STATE,33  - TAMILNADU,7433837,2979555,40.08%,4454280,59.92  %
25,STATE,28  - TELANGANA,2600702,1372954,52.79%,1227736,47.21  %
26,STATE,16  - TRIPURA,178559,65825,36.86%,112734,63.14  %
27,STATE,05  - UTTARAKHAND,489031,326858,66.84%,162169,33.16  %
28,STATE,09  - UTTAR PRADESH,6460192,3450082,53.41%,3010104,46.59  %
29,STATE,19  - WEST BENGAL,4610394,1906107,41.34%,2704276,58.66  %
30,UT,35  - ANDAMAN & NICOBAR ISLANDS,24236,14860,61.31%,9376,38.69  %
31,UT,04  - CHANDIGARH,198576,142038,71.53%,56538,28.47  %
32,UT,26  - DADRA & NAGAR HAVELI,21219,10563,49.78%,10656,50.22  %
33,UT,25  - DAMAN AND DIU,13173,9871,74.93%,3302,25.07  %
34,UT,07  - NCT OF DELHI,2340216,1853134,79.19%,487082,20.81  %
35,UT,34  - PUDUCHERRY,164608,101265,61.52%,63343,38.48  %
