,"State/UT
					"," State/UT Code - Name 
					
					","Total Household
				","No
					of Household in Slum
","%
					of Household in Slum
","No
					of Household in Non Slum
","%
					of Household in Non Slum
"
0,,All India,65133952,13161241,20.21%,51972711,79.79%
1,STATE,28  - ANDHRA PRADESH,2925984,1353878,46.27%,1572106,53.73%
2,STATE,12  - ARUNACHAL PRADESH,58375,3320,5.69%,55055,94.31%
3,STATE,18  - ASSAM,683779,44169,6.46%,639610,93.54%
4,STATE,10  - BIHAR,2245176,223676,9.96%,2021500,90.04%
5,STATE,22  - CHHATTISGARH,1173799,382479,32.58%,791320,67.42%
6,STATE,30  - GOA,82219,4617,5.62%,77602,94.38%
7,STATE,24  - GUJARAT,4708936,326546,6.93%,4382390,93.07%
8,STATE,06  - HARYANA,1661450,316676,19.06%,1344774,80.94%
9,STATE,02  - HIMACHAL PRADESH,163609,13731,8.39%,149878,91.61%
10,STATE,01  - JAMMU & KASHMIR,492475,104901,21.30%,387574,78.70%
11,STATE,20  - JHARKHAND,997697,74007,7.42%,923690,92.58%
12,STATE,29  - KARNATAKA,5090399,723425,14.21%,4366974,85.79%
13,STATE,32  - KERALA,1379341,52311,3.79%,1327030,96.21%
14,STATE,23  - MADHYA PRADESH,3434918,1033771,30.10%,2401147,69.90%
15,STATE,27  - MAHARASHTRA,9120640,2213837,24.27%,6906803,75.73%
16,STATE,14  - MANIPUR,130776,0,0.00%,130776,100.00%
17,STATE,17  - MEGHALAYA,68234,9832,14.41%,58402,85.59%
18,STATE,15  - MIZORAM,114521,15469,13.51%,99052,86.49%
19,STATE,13  - NAGALAND,94854,13575,14.31%,81279,85.69%
20,STATE,21  - ODISHA,1264486,348604,27.57%,915882,72.43%
21,STATE,03  - PUNJAB,1762732,256026,14.52%,1506706,85.48%
22,STATE,08  - RAJASTHAN,2913518,390462,13.40%,2523056,86.60%
23,STATE,11  - SIKKIM,31291,7938,25.37%,23353,74.63%
24,STATE,33  - TAMILNADU,7433837,1354749,18.22%,6079088,81.78%
25,STATE,28  - TELANGANA,2600702,1067863,41.06%,1532839,58.94%
26,STATE,16  - TRIPURA,178559,35495,19.88%,143064,80.12%
27,STATE,05  - UTTARAKHAND,489031,89096,18.22%,399935,81.78%
28,STATE,09  - UTTAR PRADESH,6460192,924955,14.32%,5535237,85.68%
29,STATE,19  - WEST BENGAL,4610394,1393049,30.22%,3217345,69.78%
30,UT,35  - ANDAMAN & NICOBAR ISLANDS,24236,3424,14.13%,20812,85.87%
31,UT,04  - CHANDIGARH,198576,19044,9.59%,179532,90.41%
32,UT,26  - DADRA & NAGAR HAVELI,21219,0,0.00%,21219,100.00%
33,UT,25  - DAMAN AND DIU,13173,0,0.00%,13173,100.00%
34,UT,07  - NCT OF DELHI,2340216,329130,14.06%,2011086,85.94%
35,UT,34  - PUDUCHERRY,164608,31186,18.95%,133422,81.05%
