,"State/UT
					"," State/UT Code - Name 
					
					","Total Population
				","No
					of Population Living in Slum
","%
					of Population Living in Slum
","No
					of Population Living in Non Slum
","%
					of Population Living in Non Slum
"
0,,All India,299994863,39851760,13.28%,205911500,68.64%
1,STATE,28  - ANDHRA PRADESH,11480183,3070766,26.75%,6384323,55.61%
2,STATE,12  - ARUNACHAL PRADESH,245417,6488,2.64%,228468,93.09%
3,STATE,18  - ASSAM,3107657,74436,2.40%,3032930,97.60%
4,STATE,10  - BIHAR,12514147,1124939,8.99%,11298454,90.29%
5,STATE,22  - CHHATTISGARH,5390879,4468395,82.89%,625482,11.60%
6,STATE,30  - GOA,343409,3675,1.07%,286750,83.50%
7,STATE,24  - GUJARAT,21609646,763278,3.53%,18853249,87.24%
8,STATE,06  - HARYANA,7595223,83278,1.10%,7266947,95.68%
9,STATE,02  - HIMACHAL PRADESH,622148,5809,0.93%,603002,96.92%
10,STATE,01  - JAMMU & KASHMIR,2774003,104980,3.78%,1696163,61.14%
11,STATE,20  - JHARKHAND,5260738,55994,1.06%,3831845,72.84%
12,STATE,29  - KARNATAKA,21797367,2001050,9.18%,16914564,77.60%
13,STATE,32  - KERALA,5799292,56882,0.98%,5741969,99.01%
14,STATE,23  - MADHYA PRADESH,17315162,4191978,24.21%,2833987,16.37%
15,STATE,27  - MAHARASHTRA,41279012,8904890,21.57%,21011651,50.90%
16,STATE,14  - MANIPUR,638198,2809,0.44%,632102,99.04%
17,STATE,17  - MEGHALAYA,351156,67914,19.34%,264257,75.25%
18,STATE,15  - MIZORAM,542105,88,0.02%,535915,98.86%
19,STATE,13  - NAGALAND,450764,10490,2.33%,426017,94.51%
20,STATE,21  - ODISHA,5500873,723455,13.15%,1421840,25.85%
21,STATE,03  - PUNJAB,8393287,1579602,18.82%,4609715,54.92%
22,STATE,08  - RAJASTHAN,15403457,440950,2.86%,4842727,31.44%
23,STATE,11  - SIKKIM,126596,58496,46.21%,100,0.08%
24,STATE,33  - TAMILNADU,28410592,5761497,20.28%,22309426,78.53%
25,STATE,28  - TELANGANA,11036187,578874,5.25%,9171539,83.10%
26,STATE,16  - TRIPURA,715951,460055,64.26%,50649,7.07%
27,STATE,05  - UTTARAKHAND,2326014,212918,9.15%,1924877,82.75%
28,STATE,09  - UTTAR PRADESH,37133043,890149,2.40%,36084202,97.18%
29,STATE,19  - WEST BENGAL,19623033,4008972,20.43%,15416136,78.56%
30,UT,35  - ANDAMAN & NICOBAR ISLANDS,96567,13630,14.11%,78238,81.02%
31,UT,04  - CHANDIGARH,849759,228,0.03%,24122,2.84%
32,UT,26  - DADRA & NAGAR HAVELI,85788,399,0.47%,11,0.01%
33,UT,25  - DAMAN AND DIU,57708,1755,3.04%,9,0.02%
34,UT,07  - NCT OF DELHI,10440249,122319,1.17%,7509462,71.93%
35,UT,34  - PUDUCHERRY,679253,322,0.05%,372,0.05%
