,"State/UT
					"," State/UT Code - Name 
					
					","Total Household
				","No of Household Having Telephone Availability No
					of Household having Landline
","No of Household Having Telephone Availability %
					of Household having Landline
","No of Household Having Telephone Availability No
					of Household having Mobile
","No of Household Having Telephone Availability %
					of Household having Mobile
","No of Household Having Telephone Availability No
					of Household having Both
","No of Household Having Telephone Availability %
					of Household having Both
","No of Household Having Telephone Availability No
					of Household having None
","No of Household Having Telephone Availability %
					of Household having None
"
0,,All India,65133952,1359196,2.09%,51911934,79.70%,5545177,8.51%,6316466,9.70%
1,STATE,28  - ANDHRA PRADESH,2925984,52392,1.79%,2426099,82.92%,126348,4.32%,320865,10.97%
2,STATE,12  - ARUNACHAL PRADESH,58375,2277,3.90%,44117,75.58%,6382,10.93%,5599,9.59%
3,STATE,18  - ASSAM,683779,3008,0.44%,585776,85.67%,37488,5.48%,57507,8.41%
4,STATE,10  - BIHAR,2245176,16182,0.72%,1795638,79.98%,39290,1.75%,393221,17.51%
5,STATE,22  - CHHATTISGARH,1173799,3660,0.31%,801347,68.27%,63335,5.40%,305457,26.02%
6,STATE,30  - GOA,82219,1910,2.32%,55844,67.92%,21041,25.59%,3424,4.16%
7,STATE,24  - GUJARAT,4708936,106083,2.25%,3723909,79.08%,451757,9.59%,427187,9.07%
8,STATE,06  - HARYANA,1661450,21212,1.28%,1324076,79.69%,184261,11.09%,131898,7.94%
9,STATE,02  - HIMACHAL PRADESH,163609,2539,1.55%,122447,74.84%,30582,18.69%,8041,4.91%
10,STATE,01  - JAMMU & KASHMIR,492475,8067,1.64%,395051,80.22%,58339,11.85%,31018,6.30%
11,STATE,20  - JHARKHAND,997697,18399,1.84%,836544,83.85%,34628,3.47%,108124,10.84%
12,STATE,29  - KARNATAKA,5090399,86524,1.70%,4143452,81.40%,500630,9.83%,359790,7.07%
13,STATE,32  - KERALA,1379341,45605,3.31%,833500,60.43%,414480,30.05%,85752,6.22%
14,STATE,23  - MADHYA PRADESH,3434918,24581,0.72%,2649237,77.13%,233954,6.81%,527139,15.35%
15,STATE,27  - MAHARASHTRA,9120640,345046,3.78%,7091251,77.75%,911858,10.00%,772485,8.47%
16,STATE,14  - MANIPUR,130776,189,0.14%,118597,90.69%,1981,1.51%,10009,7.65%
17,STATE,17  - MEGHALAYA,68234,257,0.38%,57528,84.31%,3409,5.00%,7040,10.32%
18,STATE,15  - MIZORAM,114521,1035,0.90%,99644,87.01%,7809,6.82%,6033,5.27%
19,STATE,13  - NAGALAND,94854,190,0.20%,84882,89.49%,3797,4.00%,5985,6.31%
20,STATE,21  - ODISHA,1264486,9611,0.76%,878606,69.48%,71096,5.62%,305173,24.13%
21,STATE,03  - PUNJAB,1762732,40695,2.31%,1385134,78.58%,213075,12.09%,123828,7.02%
22,STATE,08  - RAJASTHAN,2913518,27648,0.95%,2176367,74.70%,317026,10.88%,392477,13.47%
23,STATE,11  - SIKKIM,31291,66,0.21%,28522,91.15%,1783,5.70%,920,2.94%
24,STATE,33  - TAMILNADU,7433837,146712,1.97%,5930529,79.78%,615302,8.28%,741292,9.97%
25,STATE,28  - TELANGANA,2600702,50790,1.95%,2192154,84.29%,240977,9.27%,116769,4.49%
26,STATE,16  - TRIPURA,178559,2128,1.19%,135422,75.84%,14831,8.31%,26178,14.66%
27,STATE,05  - UTTARAKHAND,489031,9712,1.99%,421227,86.14%,36262,7.42%,21826,4.46%
28,STATE,09  - UTTAR PRADESH,6460192,161351,2.50%,5784992,89.55%,166365,2.58%,347478,5.38%
29,STATE,19  - WEST BENGAL,4610394,44981,0.98%,3627703,78.69%,392405,8.51%,545294,11.83%
30,UT,35  - ANDAMAN & NICOBAR ISLANDS,24236,420,1.73%,21151,87.27%,1868,7.71%,797,3.29%
31,UT,04  - CHANDIGARH,198576,2566,1.29%,143554,72.29%,42266,21.28%,10190,5.13%
32,UT,26  - DADRA & NAGAR HAVELI,21219,134,0.63%,18700,88.13%,1340,6.32%,1045,4.92%
33,UT,25  - DAMAN AND DIU,13173,437,3.32%,10390,78.87%,1514,11.49%,832,6.32%
34,UT,07  - NCT OF DELHI,2340216,120110,5.13%,1852625,79.16%,269378,11.51%,98103,4.19%
35,UT,34  - PUDUCHERRY,164608,2679,1.63%,115919,70.42%,28320,17.20%,17690,10.75%
