,"State/UT
					"," State/UT Code - Name 
					
					","Total Household
				","No of Household having Washing Machine
					availability No
					of Household having Washing
						Machine
","No of Household having Washing Machine
					availability %
					of Household having Washing
						Machine
","No of Household having Washing Machine
					availability No
					of Household not having Washing
						Machine
","No of Household having Washing Machine
					availability %
					of Household not having Washing
						Machine
"
0,,All India,65133952,16050349,24.64%,48983107,75.20%
1,STATE,28  - ANDHRA PRADESH,2925984,490645,16.77%,2434066,83.19%
2,STATE,12  - ARUNACHAL PRADESH,58375,3085,5.28%,55290,94.72%
3,STATE,18  - ASSAM,683779,78917,11.54%,604731,88.44%
4,STATE,10  - BIHAR,2245176,178583,7.95%,2063723,91.92%
5,STATE,22  - CHHATTISGARH,1173799,196207,16.72%,972628,82.86%
6,STATE,30  - GOA,82219,39651,48.23%,42468,51.65%
7,STATE,24  - GUJARAT,4708936,724029,15.38%,3983766,84.60%
8,STATE,06  - HARYANA,1661450,809655,48.73%,847621,51.02%
9,STATE,02  - HIMACHAL PRADESH,163609,75462,46.12%,88147,53.88%
10,STATE,01  - JAMMU & KASHMIR,492475,253201,51.41%,239274,48.59%
11,STATE,20  - JHARKHAND,997697,177418,17.78%,819072,82.10%
12,STATE,29  - KARNATAKA,5090399,1229847,24.16%,3856131,75.75%
13,STATE,32  - KERALA,1379341,431704,31.30%,947557,68.70%
14,STATE,23  - MADHYA PRADESH,3434918,570138,16.60%,2812456,81.88%
15,STATE,27  - MAHARASHTRA,9120640,2155906,23.64%,6959722,76.31%
16,STATE,14  - MANIPUR,130776,21226,16.23%,109550,83.77%
17,STATE,17  - MEGHALAYA,68234,5362,7.86%,62872,92.14%
18,STATE,15  - MIZORAM,114521,51943,45.36%,62369,54.46%
19,STATE,13  - NAGALAND,94854,8971,9.46%,85873,90.53%
20,STATE,21  - ODISHA,1264486,221167,17.49%,1038815,82.15%
21,STATE,03  - PUNJAB,1762732,841664,47.75%,921068,52.25%
22,STATE,08  - RAJASTHAN,2913518,609563,20.92%,2303282,79.06%
23,STATE,11  - SIKKIM,31291,4894,15.64%,26397,84.36%
24,STATE,33  - TAMILNADU,7433837,1835713,24.69%,5585222,75.13%
25,STATE,28  - TELANGANA,2600702,745281,28.66%,1854784,71.32%
26,STATE,16  - TRIPURA,178559,6815,3.82%,171736,96.18%
27,STATE,05  - UTTARAKHAND,489031,216896,44.35%,272094,55.64%
28,STATE,09  - UTTAR PRADESH,6460192,1977548,30.61%,4479367,69.34%
29,STATE,19  - WEST BENGAL,4610394,478357,10.38%,4131613,89.62%
30,UT,35  - ANDAMAN & NICOBAR ISLANDS,24236,7012,28.93%,17224,71.07%
31,UT,04  - CHANDIGARH,198576,97486,49.09%,101090,50.91%
32,UT,26  - DADRA & NAGAR HAVELI,21219,4471,21.07%,16748,78.93%
33,UT,25  - DAMAN AND DIU,13173,3070,23.31%,10103,76.69%
34,UT,07  - NCT OF DELHI,2340216,1446406,61.81%,893696,38.19%
35,UT,34  - PUDUCHERRY,164608,52056,31.62%,112552,68.38%
