,"State/UT
					"," State/UT Code - Name 
					
					","Total Household
				","No of Household having Water-Seal Latrine
					Exclusively for the Household No
					of Household having Water-Seal
						Latrine Exclusively for the Household
","No of Household having Water-Seal Latrine
					Exclusively for the Household %
					of Household having Water-Seal
						Latrine Exclusively for the Household
","No of Household having Water-Seal Latrine
					Exclusively for the Household No
					of Household not having
						Water-Seal Latrine Exclusively for the Household
","No of Household having Water-Seal Latrine
					Exclusively for the Household %
					of Household not having
						Water-Seal Latrine Exclusively for the Household
"
0,,All India,65133952,53009282,81.39%,12102684,18.58%
1,STATE,28  - ANDHRA PRADESH,2925984,2442679,83.48%,469322,16.04%
2,STATE,12  - ARUNACHAL PRADESH,58375,39417,67.52%,18958,32.48%
3,STATE,18  - ASSAM,683779,492711,72.06%,191066,27.94%
4,STATE,10  - BIHAR,2245176,1401194,62.41%,842688,37.53%
5,STATE,22  - CHHATTISGARH,1173799,723151,61.61%,450547,38.38%
6,STATE,30  - GOA,82219,71226,86.63%,10993,13.37%
7,STATE,24  - GUJARAT,4708936,4243055,90.11%,465670,9.89%
8,STATE,06  - HARYANA,1661450,1466906,88.29%,194290,11.69%
9,STATE,02  - HIMACHAL PRADESH,163609,146289,89.41%,17320,10.59%
10,STATE,01  - JAMMU & KASHMIR,492475,402368,81.70%,90107,18.30%
11,STATE,20  - JHARKHAND,997697,715367,71.70%,282328,28.30%
12,STATE,29  - KARNATAKA,5090399,4227437,83.05%,862935,16.95%
13,STATE,32  - KERALA,1379341,1296455,93.99%,82834,6.01%
14,STATE,23  - MADHYA PRADESH,3434918,2651182,77.18%,783212,22.80%
15,STATE,27  - MAHARASHTRA,9120640,7183676,78.76%,1936426,21.23%
16,STATE,14  - MANIPUR,130776,74529,56.99%,56247,43.01%
17,STATE,17  - MEGHALAYA,68234,52849,77.45%,15378,22.54%
18,STATE,15  - MIZORAM,114521,94848,82.82%,19673,17.18%
19,STATE,13  - NAGALAND,94854,73939,77.95%,20905,22.04%
20,STATE,21  - ODISHA,1264486,766753,60.64%,497731,39.36%
21,STATE,03  - PUNJAB,1762732,1648735,93.53%,113997,6.47%
22,STATE,08  - RAJASTHAN,2913518,2385250,81.87%,528268,18.13%
23,STATE,11  - SIKKIM,31291,28327,90.53%,2964,9.47%
24,STATE,33  - TAMILNADU,7433837,5733020,77.12%,1697644,22.84%
25,STATE,28  - TELANGANA,2600702,2443141,93.94%,157460,6.05%
26,STATE,16  - TRIPURA,178559,123293,69.05%,55262,30.95%
27,STATE,05  - UTTARAKHAND,489031,451775,92.38%,37256,7.62%
28,STATE,09  - UTTAR PRADESH,6460192,5549324,85.90%,909206,14.07%
29,STATE,19  - WEST BENGAL,4610394,3635504,78.85%,974851,21.14%
30,UT,35  - ANDAMAN & NICOBAR ISLANDS,24236,21835,90.09%,2401,9.91%
31,UT,04  - CHANDIGARH,198576,172976,87.11%,25600,12.89%
32,UT,26  - DADRA & NAGAR HAVELI,21219,17361,81.82%,3858,18.18%
33,UT,25  - DAMAN AND DIU,13173,11408,86.60%,1765,13.40%
34,UT,07  - NCT OF DELHI,2340216,2077660,88.78%,262556,11.22%
35,UT,34  - PUDUCHERRY,164608,143642,87.26%,20966,12.74%
